"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","calIT/(s·cm·K)","(U) ","International Table (IT) calorie per second centimetre kelvin",
"(U) ","calIT/(s·cm²·K)","(U) ","International Table (IT) calorie per second square centimetre kelvin",
"(U) ","J","(U) ","joule",
"(U) ","J/m³","(U) ","joule per cubic metre",
"(U) ","J/g","(U) ","joule per gram",
"(U) ","J/K","(U) ","joule per kelvin",
"(U) ","J/kg","(U) ","joule per kilogram",
"(U) ","J/(kg·K)","(U) ","joule per kilogram kelvin",
"(U) ","J/m","(U) ","joule per metre",
"(U) ","J/m⁴","(U) ","joule per metre to the fourth power",
"(U) ","J/mol","(U) ","joule per mole",
"(U) ","J/(mol·K)","(U) ","joule per mole kelvin",
"(U) ","J/m²","(U) ","joule per square metre",
"(U) ","J·s","(U) ","joule second",
"(U) ","J·m²","(U) ","joule square metre",
"(U) ","J·m²/kg","(U) ","joule square metre per kilogram",
"(U) ","kat","(U) ","katal",
"(U) ","K","(U) ","kelvin",
"(U) ","K·m/W","(U) ","kelvin metre per watt",
"(U) ","K/bar","(U) ","kelvin per bar",
"(U) ","K/h","(U) ","kelvin per hour",
"(U) ","K/K","(U) ","kelvin per kelvin",
"(U) ","K/min","(U) ","kelvin per minute",
"(U) ","K/s","(U) ","kelvin per second",
"(U) ","K/W","(U) ","kelvin per watt",
"(U) ","kA","(U) ","kiloampere",
"(U) ","kA·h","(U) ","kiloampere hour (thousand ampere hour)",
"(U) ","kA/m","(U) ","kiloampere per metre",
"(U) ","kA/m²","(U) ","kiloampere per square metre",
"(U) ","kbar","(U) ","kilobar",
"(U) ","kBq","(U) ","kilobecquerel",
"(U) ","kBq/kg","(U) ","kilobecquerel per kilogram",
"(U) ","kcalIT","(U) ","kilocalorie (international table)",
"(U) ","kcal/(m·h·°C)","(U) ","kilocalorie (international table) per hour metre degree Celsius",
"(U) ","kcal","(U) ","kilocalorie (mean)",
"(U) ","kcalth","(U) ","kilocalorie (thermochemical)",
"(U) ","kcalth/h","(U) ","kilocalorie (thermochemical) per hour",
"(U) ","kcalth/min","(U) ","kilocalorie (thermochemical) per minute",
"(U) ","kcalth/s","(U) ","kilocalorie (thermochemical) per second",
"(U) ","kC","(U) ","kilocoulomb",
"(U) ","kC/m³","(U) ","kilocoulomb per cubic metre",
"(U) ","kC/m²","(U) ","kilocoulomb per square metre",
"(U) ","kCi","(U) ","kilocurie",
"(U) ","keV","(U) ","kiloelectronvolt",
"(U) ","kg","(U) ","kilogram",
"(U) ","kg·m/s","(U) ","kilogram metre per second",
"(U) ","kg·m²","(U) ","kilogram metre squared",
"(U) ","kg·m²/s","(U) ","kilogram metre squared per second",
"(U) ","kg/bar","(U) ","kilogram per bar",
"(U) ","kg/cm³","(U) ","kilogram per cubic centimetre",
"(U) ","kg/(cm³·bar)","(U) ","kilogram per cubic centimetre bar",
