"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","avt","(U) ","Au",
"(U) ","avu","(U) ","Avokaya",
"(U) ","avv","(U) ","Avá-Canoeiro",
"(U) ","awa","(U) ","Awadhi",
"(U) ","awb","(U) ","Awa (Papua New Guinea)",
"(U) ","awc","(U) ","Cicipu",
"(U) ","awe","(U) ","Awetí",
"(U) ","awg","(U) ","Anguthimri",
"(U) ","awh","(U) ","Awbono",
"(U) ","awi","(U) ","Aekyom",
"(U) ","awk","(U) ","Awabakal",
"(U) ","awm","(U) ","Arawum",
"(U) ","awn","(U) ","Awngi",
"(U) ","awo","(U) ","Awak",
"(U) ","awr","(U) ","Awera",
"(U) ","aws","(U) ","South Awyu",
"(U) ","awt","(U) ","Araweté",
"(U) ","awu","(U) ","Central Awyu",
"(U) ","awv","(U) ","Jair Awyu",
"(U) ","aww","(U) ","Awun",
"(U) ","awx","(U) ","Awara",
"(U) ","awy","(U) ","Edera Awyu",
"(U) ","axb","(U) ","Abipon",
"(U) ","axe","(U) ","Ayerrerenge",
"(U) ","axg","(U) ","Mato Grosso Arára",
"(U) ","axk","(U) ","Yaka (Central African Republic)",
"(U) ","axl","(U) ","Lower Southern Aranda",
"(U) ","axm","(U) ","Middle Armenian",
"(U) ","axx","(U) ","Xaragure",
"(U) ","aya","(U) ","Awar",
"(U) ","ayb","(U) ","Ayizo Gbe",
"(U) ","ayc","(U) ","Southern Aymara",
"(U) ","ayd","(U) ","Ayabadhu",
"(U) ","aye","(U) ","Ayere",
"(U) ","ayg","(U) ","Ginyanga",
"(U) ","ayh","(U) ","Hadrami Arabic",
"(U) ","ayi","(U) ","Leyigha",
"(U) ","ayk","(U) ","Akuku",
"(U) ","ayl","(U) ","Libyan Arabic",
"(U) ","aym","(U) ","Aymara",
"(U) ","ayn","(U) ","Sanaani Arabic",
"(U) ","ayo","(U) ","Ayoreo",
"(U) ","ayp","(U) ","North Mesopotamian Arabic",
"(U) ","ayq","(U) ","Ayi (Papua New Guinea)",
"(U) ","ayr","(U) ","Central Aymara",
"(U) ","ays","(U) ","Sorsogon Ayta",
"(U) ","ayt","(U) ","Bataan Ayta",
"(U) ","ayu","(U) ","Ayu",
"(U) ","ayx","(U) ","Ayi (China)",
"(U) ","ayy","(U) ","Tayabas Ayta",
"(U) ","ayz","(U) ","Mai Brat",
"(U) ","aza","(U) ","Azha",
"(U) ","azb","(U) ","South Azerbaijani",
"(U) ","azd","(U) ","Eastern Durango Nahuatl",
"(U) ","aze","(U) ","Azerbaijani",
"(U) ","azg","(U) ","San Pedro Amuzgos Amuzgo",
"(U) ","azj","(U) ","North Azerbaijani",
"(U) ","azm","(U) ","Ipalapa Amuzgo",
"(U) ","azn","(U) ","Western Durango Nahuatl",
"(U) ","azo","(U) ","Awing",
"(U) ","azt","(U) ","Faire Atta",
"(U) ","azz","(U) ","Highland Puebla Nahuatl",
"(U) ","baa","(U) ","Babatana",
"(U) ","bab","(U) ","Bainouk-Gunyuño",
"(U) ","bac","(U) ","Badui",
"(U) ","bae","(U) ","Baré",
"(U) ","baf","(U) ","Nubaca",
"(U) ","bag","(U) ","Tuki",
"(U) ","bah","(U) ","Bahamas Creole English",
"(U) ","baj","(U) ","Barakai",
"(U) ","bak","(U) ","Bashkir",
"(U) ","bal","(U) ","Baluchi",
"(U) ","bam","(U) ","Bambara",
"(U) ","ban","(U) ","Balinese",
"(U) ","bao","(U) ","Waimaha",
"(U) ","bap","(U) ","Bantawa",
"(U) ","bar","(U) ","Bavarian",
"(U) ","bas","(U) ","Basa (Cameroon)",
"(U) ","bau","(U) ","Bada (Nigeria)",
"(U) ","bav","(U) ","Vengo",
"(U) ","baw","(U) ","Bambili-Bambui",
"(U) ","bax","(U) ","Bamun",
"(U) ","bay","(U) ","Batuley",
"(U) ","baz","(U) ","Tunen",
"(U) ","bba","(U) ","Baatonum",
"(U) ","bbb","(U) ","Barai",
"(U) ","bbc","(U) ","Batak Toba",
"(U) ","bbd","(U) ","Bau",
"(U) ","bbe","(U) ","Bangba",
"(U) ","bbf","(U) ","Baibai",
"(U) ","bbg","(U) ","Barama",
"(U) ","bbh","(U) ","Bugan",
"(U) ","bbi","(U) ","Barombi",
"(U) ","bbj","(U) ","Ghomálá'",
"(U) ","bbk","(U) ","Babanki",
"(U) ","bbl","(U) ","Bats",
"(U) ","bbm","(U) ","Babango",
"(U) ","bbn","(U) ","Uneapa",
"(U) ","bbo","(U) ","Northern Bobo Madaré",
"(U) ","bbp","(U) ","West Central Banda",
"(U) ","bbq","(U) ","Bamali",
"(U) ","bbr","(U) ","Girawa",
"(U) ","bbs","(U) ","Bakpinka",
"(U) ","bbt","(U) ","Mburku",
"(U) ","bbu","(U) ","Kulung (Nigeria)",
"(U) ","bbv","(U) ","Karnai",
"(U) ","bbw","(U) ","Baba",
"(U) ","bbx","(U) ","Bubia",
"(U) ","bby","(U) ","Befang",
"(U) ","bbz","(U) ","Babalia Creole Arabic",
"(U) ","bca","(U) ","Central Bai",
"(U) ","bcb","(U) ","Bainouk-Samik",
"(U) ","bcc","(U) ","Southern Balochi",
"(U) ","bcd","(U) ","North Babar",
"(U) ","bce","(U) ","Bamenyam",
"(U) ","bcf","(U) ","Bamu",
"(U) ","bcg","(U) ","Baga Binari",
"(U) ","bch","(U) ","Bariai",
"(U) ","bci","(U) ","Baoulé",
"(U) ","bcj","(U) ","Bardi",
"(U) ","bck","(U) ","Bunaba",
"(U) ","bcl","(U) ","Central Bicolano",
"(U) ","bcm","(U) ","Bannoni",
"(U) ","bcn","(U) ","Bali (Nigeria)",
"(U) ","bco","(U) ","Kaluli",
"(U) ","bcp","(U) ","Bali (Democratic Republic of Congo)",
"(U) ","bcq","(U) ","Bench",
"(U) ","bcr","(U) ","Babine",
"(U) ","bcs","(U) ","Kohumono",
"(U) ","bct","(U) ","Bendi",
"(U) ","bcu","(U) ","Awad Bing",
"(U) ","bcv","(U) ","Shoo-Minda-Nye",
"(U) ","bcw","(U) ","Bana",
"(U) ","bcy","(U) ","Bacama",
"(U) ","bcz","(U) ","Bainouk-Gunyaamolo",
"(U) ","bda","(U) ","Bayot",
"(U) ","bdb","(U) ","Basap",
"(U) ","bdc","(U) ","Emberá-Baudó",
"(U) ","bdd","(U) ","Bunama",
"(U) ","bde","(U) ","Bade",
"(U) ","bdf","(U) ","Biage",
"(U) ","bdg","(U) ","Bonggi",
"(U) ","bdh","(U) ","Baka (Sudan)",
"(U) ","bdi","(U) ","Burun",
"(U) ","bdj","(U) ","Bai",
"(U) ","bdk","(U) ","Budukh",
"(U) ","bdl","(U) ","Indonesian Bajau",
"(U) ","bdm","(U) ","Buduma",
"(U) ","bdn","(U) ","Baldemu",
"(U) ","bdo","(U) ","Morom",
"(U) ","bdp","(U) ","Bende",
"(U) ","bdq","(U) ","Bahnar",
"(U) ","bdr","(U) ","West Coast Bajau",
"(U) ","bds","(U) ","Burunge",
"(U) ","bdt","(U) ","Bokoto",
"(U) ","bdu","(U) ","Oroko",
"(U) ","bdv","(U) ","Bodo Parja",
"(U) ","bdw","(U) ","Baham",
"(U) ","bdx","(U) ","Budong-Budong",
"(U) ","bdy","(U) ","Bandjalang",
"(U) ","bdz","(U) ","Badeshi",
"(U) ","bea","(U) ","Beaver",
"(U) ","beb","(U) ","Bebele",
"(U) ","bec","(U) ","Iceve-Maci",
"(U) ","bed","(U) ","Bedoanas",
"(U) ","bee","(U) ","Byangsi",
"(U) ","bef","(U) ","Benabena",
"(U) ","beg","(U) ","Belait",
"(U) ","beh","(U) ","Biali",
"(U) ","bei","(U) ","Bekati'",
"(U) ","bej","(U) ","Beja",
"(U) ","bek","(U) ","Bebeli",
"(U) ","bel","(U) ","Belarusian",
